Phở bò|50000|Phở bò với nước dùng đậm đà và thịt bò tái mềm mại|https://cdnv2.tgdd.vn/mwg-static/common/Common/pho-tai-lan.jpg
Cơm niêu|30000|Thố cơm niêu chất lượng|https://bizweb.dktcdn.net/100/442/328/files/com-nieu-trong-van-hoa-am-thuc-viet-2-385c9883-7388-4789-9784-589ad35f5423.jpg?v=1646126302108
Cơm chiên hải sản kiểu Indonesia|65000|https://statics.vincom.com.vn/xu-huong/cac-mon-an-nha-hang-5-sao/mon-chinh-mi-com.jpeg
Cá hồi nướng mè|24000|https://bepos.io/wp-content/uploads/2023/06/thuc-don-nha-hang-5-sao-13.jpg
Súp bong bóng cá|45000|https://statics.vincom.com.vn/xu-huong/cac-mon-an-nha-hang-5-sao/mon-sup.jpg
Súp bào ngư hải sản|200000|https://bepos.io/wp-content/uploads/2023/06/thuc-don-nha-hang-5-sao-6.jpg
Súp rau củ kiểu Ý|75000|https://www.cukcuk.vn/wp-content/uploads/2023/04/monika-grabkowska-_y6A9bhILkM-unsplash-scaled.jpeg
Sườn cừu nướng sốt Rosemary|200000|https://bepos.io/wp-content/uploads/2023/06/thuc-don-nha-hang-5-sao-7.jpg
Hàu đút lò phô mai|50000|https://bepos.io/wp-content/uploads/2023/06/thuc-don-nha-hang-5-sao-11.jpg
Cua huỳnh đế rang muối|2000000|https://www.cukcuk.vn/wp-content/uploads/2023/04/Screen-Shot-2023-04-20-at-11.33.29.png
Tôm Alaska|1500000|https://statics.vincom.com.vn/xu-huong/cac-mon-an-nha-hang-5-sao/mon-hai-san.jpg
Tôm hùm xào bơ tỏi|1800000|https://www.cukcuk.vn/wp-content/uploads/2023/04/lobster-tail-steak-with-sauce_1339-69162.jpeg
Creme Brulee|45000|Món tráng miệng đẳng cấp 5 sao|https://statics.vincom.com.vn/xu-huong/cac-mon-an-nha-hang-5-sao/mon-trang-mieng.jpg
Bánh mousse chanh dây|55000|https://www.cukcuk.vn/wp-content/uploads/2023/04/cheesecake-topped-with-kumquat_141793-1366.jpeg
Bánh flan caramel|30000|Món tráng miệng mềm mịn với lớp caramel ngọt ngào|https://savourebakery.com/storage/images/san-pham/Banh-lanh/Banh-Flan-2.jpg
Bánh ngọt Donut|30000|Bánh ngọt Donut|https://upload.wikimedia.org/wikipedia/commons/b/b8/Donuts_with_chocolate_banana_and_strawberry.jpg
Bánh xốp Macaron vị trà xanh|100000|https://bepos.io/wp-content/uploads/2023/06/thuc-don-nha-hang-5-sao-9.jpg
Trà đào cam sả|30000|Thức uống thanh mát, giải khát tuyệt vời|https://horecavn.com/wp-content/uploads/2024/05/huong-dan-cong-thuc-tra-dao-cam-sa-hut-khach-ngon-kho-cuong_20240526180626.jpg
Nước cam|30000|Nước cam nguyên chất|https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2023/11/7/uong-nuoc-cam-16993504421751885406385.jpg
